"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Mar 17 23:51:15 GMT 2024","Sun Mar 17 23:51:45 GMT 2024","30217","","tests/github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"broken","Sun Mar 17 23:51:45 GMT 2024","Sun Mar 17 23:52:15 GMT 2024","30203","","tests/github-search.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
